FIXE,Jour de l'An,01/01/0000
FIXE,Fête du travail,01/05/1941
FIXE,Victoire 1945,08/05/1945
FIXE,Fête Nationale,14/07/1880
FIXE,Assomption,15/08/0000
FIXE,Toussaint,01/11/0000
FIXE,Armistice 1918,11/11/1918
FIXE,Noël,25/12/0000
DIPAQ,Pâques,01/01/0325
LUPAQ,.Lundi de Pâques,01/01/0325
JEASC,Ascension,01/01/0813
DIPEN,Pentecôte,01/01/0813
SOUDEP,Souv. déportés,01/01/1954
FETMER,Fête des mères,01/01/1950
