"02/07","St Martinien",""
"03/07","St Thomas","" 
"04/07","St Florent",""
"05/07","St Antoine",""
"06/07","Ste Mariette",""
"07/07","St Raoul",""
"08/07","St Thibault",""
"09/07","Ste Amandine",""
"10/07","St Ulrich",""
"11/07","St Benoît",""
"12/07","St Olivier",""
"13/07","St Henri, Joël","St Henri et St Joël"
"14/07","St Camille",""
"15/07","St Donald",""
"16/07","Ste N-D Mt-Carmel","Ste Notre-Dame du Mont Carmel"
"17/07","Ste Charlotte",""
"18/07","St Frédéric",""
"19/07","St Arsène",""
"20/07","Ste Marina",""
"21/07","St Victor",""
"22/07","Ste Marie-Mad.","Ste Marie-Madeleine"
"23/07","Ste Brigitte",""
"24/07","Ste Christine",""
"25/07","St Jacques le M.","St Jacques le Majeur"
"26/07","Ste Anne, Joachim","Ste Anne et St Joachim"
"27/07","Ste Nathalie",""
"28/07","St Samson",""
"29/07","Ste Marthe",""
"30/07","Ste Juliette",""
"31/07","St Ignace de L.","St Ignace de Loyola"
"01/08","St Alphonse",""
"02/08","St Julien-Eym.","St Julien-Eymard"
"03/08","Ste Lydie",""
"04/08","St J.-M. Vianney","St Jean-Marie Vianney"
"05/08","St Abel",""
"06/08","Transfiguration",""
"07/08","St Gaétan",""
"08/08","St Dominique",""
"09/08","St Amour",""
"10/08","St Laurent",""
"11/08","Ste Claire",""
"12/08","Ste Clarisse",""
"13/08","St Hippolyte",""
"14/08","St Evrard",""
"15/08","Ste Marie",""
"16/08","St Armel",""
"17/08","St Hyacinthe",""
"18/08","Ste Hélène",""
"19/08","St Jean-Eudes",""
"20/08","St Bernard",""
"21/08","St Christophe",""
"22/08","St Fabrice",""
"23/08","Ste Rose de L.","Ste Rose de Lima"
"24/08","St Barthélemy",""
"25/08","St Louis",""
"26/08","Ste Natacha",""
"27/08","Ste Monique",""
"28/08","St Augustin",""
"29/08","Ste Sabine",""
"30/08","St Fiacre",""
"31/08","St Aristide",""
"01/09","St Gilles",""
"02/09","Ste Ingrid",""
"03/09","St Grégoire",""
"04/09","Ste Rosalie",""
"05/09","Ste Raïssa",""
"06/09","St Bertrand",""
"07/09","Ste Reine",""
"08/09","Nativité N.-D.","Nativité de Notre-Dame"
"09/09","St Alain",""
"10/09","Ste Inès",""
"11/09","St Adelphe",""
"12/09","St Apollinaire",""
"13/09","St Aimé",""
"14/09","La Ste Croix",""
"15/09","St Roland",""
"16/09","Ste Edith",""
"17/09","St Renaud",""
"18/09","Ste Nadège",""
"19/09","Ste Emilie",""
"20/09","St Davy",""
"21/09","St Matthieu",""
"22/09","St Maurice",""
"23/09","St Constant",""
"24/09","Ste Thècle",""
"25/09","St Hermann",""
"26/09","St Côme, Damien","St Côme et St Damien"
"27/09","St Vinc. de P.","St Vincent de Paul"
"28/09","St Venceslas",""
"29/09","St Michel",""
"30/09","St Jérôme",""
"01/10","Ste Thérèse E.J.","Ste Thérèse de l'Enfant-Jésus"
"02/10","St Léger",""
"03/10","St Gérard",""
"04/10","St Fr. d'Assise","St François d'Assise"
"05/10","Ste Fleur",""
"06/10","St Bruno",""
"07/10","St Serge",""
"08/10","Ste Pélagie",""
"09/10","St Denis",""
"10/10","St Ghislain",""
"11/10","St Firmin",""
"12/10","St Wilfried",""
"13/10","St Géraud",""
"14/10","St Juste",""
"15/10","Ste Thér. d'Avila","Ste Thérèse d'Avila"
"16/10","Ste Edwige",""
"17/10","St Baudoin",""
"18/10","St Luc",""
"19/10","St René",""
"20/10","Ste Adeline",""
"21/10","Ste Céline",""
"22/10","Ste Elodie",""
"23/10","St Jean de C.","St Jean de Capistran"
"24/10","St Florentin",""
"25/10","St Crépin",""
"26/10","St Dimitri",""
"27/10","Ste Emeline",""
"28/10","St Simon, Jude","St Simon et St Jude"
"29/10","St Narcisse",""
"30/10","Ste Bienvenue",""
"31/10","St Quentin",""
"01/11","Toussaint",""
"02/11","Défunts",""
"03/11","St Hubert",""
"04/11","St Charles",""
"05/11","Ste Sylvie",""
"06/11","Ste Bertille",""
"07/11","Ste Carine",""
"08/11","St Geoffroy",""
"09/11","St Théodore",""
"10/11","St Léon",""
"11/11","St Véran",""
"12/11","St Christian",""
"13/11","St Brice",""
"14/11","St Sidoine",""
"15/11","St Albert",""
"16/11","Ste Marguerite",""
"17/11","Ste Elisabeth",""
"18/11","Ste Aude",""
"19/11","St Tanguy",""
"20/11","St Edmond",""
"21/11","Prés. Marie","Présentation de Marie"
"22/11","Ste Cécile",""
"23/11","St Clément",""
"24/11","Ste Flora",""
"25/11","Ste Cath. L.","Ste Catherine Labouré"
"26/11","Ste Delphine",""
"27/11","St Séverin",""
"28/11","St Jacq. de la M.","St Jacques de la Marche"
"29/11","St Saturnin",""
"30/11","St André",""
"01/12","Ste Florence",""
"02/12","Ste Viviane",""
"03/12","St Xavier",""
"04/12","Ste Barbara",""
"05/12","St Gérald",""
"06/12","St Nicolas",""
"07/12","St Ambroise",""
"08/12","Im. Concept.","Immaculée Conception"
"09/12","St P. Fourier","St Pierre Fourier"
"10/12","St Romaric",""
"11/12","St Daniel",""
"12/12","Ste J.- F. de Ch.","Ste Jeanne-Françoise de Chantal"
"13/12","Ste Lucie",""
"14/12","Ste Odile",""
"15/12","Ste Ninon",""
"16/12","Ste Alice",""
"17/12","St Gaël",""
"18/12","St Gatien",""
"19/12","St Urbain",""
"20/12","St Abraham",""
"21/12","St Pierre C.","St Pierre Canisius"
"22/12","Ste Fr.-Xavière","Ste Françoise-Xavière"
"23/12","St Armand",""
"24/12","Ste Adèle",""
"25/12","Noël",""
"26/12","St Etienne",""
"27/12","St Jean",""
"28/12","Sts Innocents","Saints Innocents"
"29/12","St David",""
"30/12","St Roger",""
"31/12","St Sylvestre",""
