01/01/YYYY,Jour de l'An,,0000
01/05/YYYY,Fête du travail,,1941
08/05/YYYY,Victoire 1945,,1945
14/07/YYYY,Fête Nationale,,1880
15/08/YYYY,Assomption,,0000
01/11/YYYY,Toussaint,,0000
11/11/YYYY,Armistice 1918,,1918
25/12/YYYY,Noël,,0000
DIPAQ,Pâques,,0325
LUPAQ,Lundi de Pâques,,0325
JEASC,Ascension,,0813
DIPEN,Pentecôte,,0813
SOUDEP,Souv. déportés,Souvenir des déportés,1954
FETMER,Fête des mères,,1950
